abdomen,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">The part of the body of a vertebrate containing the digestive and reproductive organs; the belly.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">stomach</strong><span class=""syn"">, belly, gut, middle, midriff, intestines</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-regions domain_labels"">Zoology </span><span class=""ind"">The hinder part of the body of an arthropod, especially the segments of an insect's body behind the thorax.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
duo,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>duos</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A pair of people or things, especially in music or entertainment.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the comedy duo Laurel and Hardy’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">pair</strong><span class=""syn"">, duo, duology, twosome, set of two, match</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""sense-regions domain_labels"">Music </span><br/><span class=""ind"">A duet.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘two duos for violin and viola’</em></div></div></div></li></ul></section>"
dusky,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span><span class=""pos-inflections""><span class=""inflection-text""><span>duskier, </span></span><span class=""inflection-text""><span>duskiest</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Darkish in colour.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘dusky red’</em></div></div><div class=""exg""><div class=""ex""><em>‘a dusky complexion’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-registers"">dated </span><span class=""ind"">Used in euphemistic or poetic reference to black or other dark-skinned people.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘a dusky Moorish maiden’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""sense-registers"">literary </span><span class=""ind"">Dim.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘dusky light came from a small window’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">shadowy</strong><span class=""syn"">, dark, darkish, dim, gloomy, murky, shady, cloudy, misty, hazy, foggy</span></div></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.3</span><u><span class=""grammatical_note"">attributive</span></u> <span class=""ind"">Used in names of animals with dark coloration, e.g. dusky dolphin, dusky warbler.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
dwindle,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>no object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Diminish gradually in size, amount, or strength.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘traffic has dwindled to a trickle’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">diminish</strong><span class=""syn"">, decrease, reduce, get smaller, become smaller, grow smaller, become less, grow less, lessen, wane, contract, shrink, fall off, taper off, tail off, drop, fall, go down, sink, slump, plummet</span></div><div><strong class=""syn"">decline</strong><span class=""syn"">, degenerate, deteriorate, fail, ebb, wane, sink, slip, slide, go downhill, go to rack and ruin, decay, wither, fade, fade away</span></div></div></div></div></li></ul></section>"
economize,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>no object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Spend less; reduce one's expenses.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘I have to economize where I can’</em></div></div><div class=""exg""><div class=""ex""><em>‘people on low incomes may try to economize on fuel’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">save</strong><span class=""syn"">, save money, cut expenditure, cut costs</span></div></div></div></div></li></ul></section>"
eerie,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span><span class=""pos-inflections""><span class=""inflection-text""><span>eerier, </span></span><span class=""inflection-text""><span>eeriest</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Strange and frightening.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘an eerie green glow in the sky’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">uncanny</strong><span class=""syn"">, sinister, ghostly, spectral, unnatural, unearthly, preternatural, supernatural, other-worldly, unreal, mysterious, strange, abnormal, odd, curious, queer, weird, bizarre, freakish</span></div></div></div></div></li></ul></section>"
egocentric,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Thinking only of oneself, without regard for the feelings or desires of others; self-centred.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘egocentric loners with an overinflated sense of self-worth’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">self-centred</strong><span class=""syn"">, selfish, egocentric, egomaniacal, self-interested, self-seeking, self-regarding, self-absorbed, self-obsessed, self-loving, narcissistic, vain, conceited, proud, self-important</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Centred in or arising from a person's own individual existence or perspective.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘egocentric spatial perception’</em></div></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">An egocentric person.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">self-seeker</strong><span class=""syn"">, egocentric, egomaniac, self admirer, narcissist</span></div></div></div></div></li></ul></section>"
egotistic,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><div class=""empty_sense""><p class=""derivative_of"">See <a>egotistical</a></p></div></section>"
eject,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Force or throw (something) out in a violent or sudden way.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘lumps of viscous lava were ejected from the volcano’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">emit</strong><span class=""syn"">, spew out, pour out, discharge, give off, give out, send out, belch, vent</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Cause (something) to be expelled from a machine.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘he ejected the spent cartridge’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><u><span class=""grammatical_note"">no object</span></u> <span class=""ind"">(of a pilot) escape from an aircraft by being explosively propelled out of it.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘he put the plane in a nosedive and ejected’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">bail out</strong><span class=""syn"">, escape, leave the aircraft, get out, parachute to safety</span></div></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">Compel (someone) to leave a place.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘angry supporters were forcibly ejected from the court’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">expel</strong><span class=""syn"">, throw out, turn out, put out, cast out, remove, oust</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""ind"">Dismiss (someone) from office.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘he was ejected from office in July’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">dismiss</strong><span class=""syn"">, remove, discharge, oust, expel, deprive of office, get rid of, throw out, turn out, fling out, force out, drive out</span></div></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">3</span><span class=""ind"">Emit; give off.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘plants utilize carbon dioxide in the atmosphere that animals eject’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">emit</strong><span class=""syn"">, spew out, pour out, discharge, give off, give out, send out, belch, vent</span></div></div></div></div></li></ul></section>"
electorate,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><u><span class=""grammatical_note"">treated as singular or plural</span></u> <span class=""ind"">All the people in a country or area who are entitled to vote in an election.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘75 per cent of the electorate voted for a Scottish parliament in some form’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">people</strong><span class=""syn"">, citizens, subjects, general public, electors, electorate, voters, taxpayers, ratepayers, residents, inhabitants, citizenry, population, populace, community, society, country, nation, world</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""sense-regions"">Australian, New Zealand </span><span class=""ind"">The area represented by one Member of Parliament.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">members</strong><span class=""syn"">, subscribers, associates, representatives, attenders, fellows, comrades, followers</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">3</span><span class=""sense-registers"">historical </span><span class=""ind"">The office or territories of a German elector.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘Originally, the Duke held the electorate personally, but it was later made hereditary along with the duchy.’</em></div></div><div class=""exg""><div class=""ex""><em>‘It was at Minden, in the heart of the Electorate of Hanover, that the father of Lafayette fell.’</em></div></div></div></li></ul></section>"
elevated,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Situated or placed higher than the surrounding area.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘this hotel has an elevated position above the village’</em></div></div><div class=""exg""><div class=""ex""><em>‘the elevated section of the M4’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">raised</strong><span class=""syn"">, upraised, uplifted, lifted up, high up, aloft, aerial, overhead, hoisted</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">(of a level or amount) higher or greater than normal.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘an elevated temperature’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""ind"">Of a high intellectual or moral level.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the elevated canon of great literary texts’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">lofty</strong><span class=""syn"">, exalted, high, grand, fine, sublime</span></div></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.3</span><span class=""ind"">Having a high rank or social standing.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘these parish gentry were conscious of their elevated status’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">dignified</strong><span class=""syn"">, grand, lofty, noble, eminent, exalted, revered, august, great, high, higher, high up, higher up, superior</span></div></div></div></li></ul></p></div></li></ul></section>"
elicit,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span><span class=""pos-inflections""><span class=""inflection-text""><span>elicits, </span></span><span class=""inflection-text""><span>eliciting, </span></span><span class=""inflection-text""><span>elicited</span></span></span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Evoke or draw out (a reaction, answer, or fact) from someone.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘I tried to elicit a smile from Joanna’</em></div></div><div class=""exg""><div class=""ex""><em>‘the work elicited enormous public interest’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">obtain</strong><span class=""syn"">, bring out, draw out, extract, evoke, bring about, bring forth, induce, excite, give rise to, call forth, prompt, generate, engender, spark off, trigger, kindle</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-registers"">archaic </span><span class=""ind"">Draw forth (something that is latent or potential) into existence.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘a corrupt heart elicits in an hour all that is bad in us’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">cause</strong><span class=""syn"">, induce, provoke, create, generate, engender, foster, encourage, lead to, call forth, make happen</span></div></div></div></li></ul></p></div></li></ul></section>"
eligible,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><span class=""form-groups"">often <strong>eligible for/to do something</strong></span> <ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Having the right to do or obtain something; satisfying the appropriate conditions.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘customers who are eligible for discounts’</em></div></div><div class=""exg""><div class=""ex""><em>‘eligible candidates’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">entitled</strong><span class=""syn"">, permitted, allowed, qualified</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">(of a person) desirable or suitable as a partner in marriage.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the world's most eligible bachelor’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">desirable</strong></div></div></div></li></ul></p></div></li></ul></section>"
elude,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Escape from or avoid (a danger, enemy, or pursuer), typically in a skilful or cunning way.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he tried to elude the security men by sneaking through a back door’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">evade</strong><span class=""syn"">, avoid, get away from, dodge, flee, escape, escape from, run from, run away from</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Avoid compliance with (a law or penalty)</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘we need to ensure that bad cases do not elude tough penalties’</em></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">(of an achievement or something desired) fail to be attained by (someone)</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘sleep still eluded her’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""ind"">(of an idea or fact) fail to be understood or remembered by (someone)</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the logic of this eluded most people’</em></div></div></li></ul></p></div></li></ul></section>"
elusive,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Difficult to find, catch, or achieve.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘success will become ever more elusive’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">difficult to catch</strong><span class=""syn"">, difficult to find, difficult to track down</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Difficult to remember.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the elusive thought he had had moments before’</em></div></div></li></ul></p></div></li></ul></section>"
embargo,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>embargoes</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">An official ban on trade or other commercial activity with a particular country.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘an embargo on grain sales’</em></div></div><div class=""exg""><div class=""ex""><em>‘an arms embargo’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">ban</strong><span class=""syn"">, bar, veto, embargo, moratorium, prohibition, proscription, interdict, injunction, sanction, restriction, barrier</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">An official ban on any activity.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘there is a complete embargo on taking photographs in court’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">ban</strong><span class=""syn"">, bar, prohibition, stoppage, interdict, proscription, veto, moratorium</span></div></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""sense-registers"">historical </span><span class=""ind"">An order of a state forbidding foreign ships to enter, or any ships to leave, its ports.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘an embargo laid by our Emperor upon all vessels whatsoever’</em></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span><span class=""pos-inflections""><span class=""inflection-text""><span>embargoes, </span></span><span class=""inflection-text""><span>embargoing, </span></span><span class=""inflection-text""><span>embargoed</span></span></span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Impose an official ban on (trade or a country or commodity)</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘all of these countries have been embargoed by the US’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">boycott</strong><span class=""syn"">, ostracize, avoid, embargo, place an embargo on, put an embargo on, consider undesirable, steer clear of, ignore</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Officially ban the publication of.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘documents of national security importance are routinely embargoed’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">ban</strong><span class=""syn"">, bar, prohibit, stop, interdict, debar, proscribe, outlaw, make illegal</span></div></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""sense-registers"">archaic </span><span class=""ind"">Seize (a ship or goods) for state service.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘they must embargo means of transport’</em></div></div></div></li></ul></section>"
embed,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span><span class=""pos-inflections""><span class=""inflection-text""><span>embeds, </span></span><span class=""inflection-text""><span>embedding, </span></span><span class=""inflection-text""><span>embedded</span></span></span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Fix (an object) firmly and deeply in a surrounding mass.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he had an operation to remove a nail embedded in his chest’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">implant</strong><span class=""syn"">, plant, set, fix, lodge, root, insert, place</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Implant (an idea or feeling) so that it becomes ingrained within a particular context.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the Victorian values embedded in Tennyson's poetry’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""sense-regions domain_labels"">Linguistics </span><span class=""ind"">Place (a phrase or clause) within another clause or sentence.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘phrases or clauses that are embedded in a sentence for effect’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.3</span><span class=""ind"">Incorporate (a video or other item of data) within the body of a web page or other document.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘you can embed the videos into a blog post.’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.4</span><span class=""ind"">Design and build (a microprocessor) as an integral part of a system or device.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘to embed the controller, he has to get creative’</em></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">Attach (a journalist) to a military unit during a conflict.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the CNN correspondent is now embedded with the US Navy aboard the USS Constellation’</em></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A journalist who is attached to a military unit during a conflict.</span></p><span class=""indicators""></span></div></li></ul></section>"
embryo,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>embryos</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">An unborn or unhatched offspring in the process of development, in particular a human offspring during the period from approximately the second to the eighth week after fertilization (after which it is usually termed a fetus).</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">fetus</strong><span class=""syn"">, fertilized egg, unborn baby, unborn child</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-regions domain_labels"">Botany </span><span class=""ind"">The part of a seed which develops into a plant, consisting (in the mature embryo of a higher plant) of a plumule, a radicle, and one or two cotyledons.</span><div class=""trg""></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">A thing at a rudimentary stage that shows potential for development.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘a simple commodity economy is merely the embryo of a capitalist economy’</em></div></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">as modifier</span></u> <em>‘an embryo central bank’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">rudimentary version</strong><span class=""syn"">, germ, nucleus, seed, root, source</span></div></div></div></div></li></ul></section>"
eminence,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><u><span class=""grammatical_note"">mass noun</span></u> <span class=""ind"">Fame or acknowledged superiority within a particular sphere.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘her eminence in cinematography’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">illustriousness</strong><span class=""syn"">, distinction, renown, pre-eminence, notability, greatness, calibre, prestige, importance, reputation, repute, note</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><u><span class=""grammatical_note"">count noun</span></u> <span class=""ind"">An important or distinguished person.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the Lord Chancellor canvassed the views of various legal eminences’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">important person</strong><span class=""syn"">, influential person, distinguished person, dignitary, luminary, worthy, grandee, notable, notability, personage, leading light, VIP</span></div></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""form-groups""><strong>His/Your Eminence</strong></span><span class=""ind"">A title or form of address given to a Roman Catholic cardinal.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘His Eminence, Cardinal Thomas Wolsey’</em></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""sense-registers"">formal, literary </span><span class=""ind"">A piece of rising ground.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘an eminence commanding the River Emme’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">elevation</strong><span class=""syn"">, rise, raised ground, rising ground, height, hill, bank, mound</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""sense-regions domain_labels"">Anatomy </span><span class=""ind"">A slight projection from the surface of the body.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘a swelling on the lower surface of the brain termed the median eminence’</em></div></div></li></ul></p></div></li></ul></section>"
empirical,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Based on, concerned with, or verifiable by observation or experience rather than theory or pure logic.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘they provided considerable empirical evidence to support their argument’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">observed</strong><span class=""syn"">, seen, factual, actual, real, verifiable, first-hand</span></div></div></div></div></li></ul></section>"
