abdomen,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">The part of the body of a vertebrate containing the digestive and reproductive organs; the belly.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">stomach</strong><span class=""syn"">, belly, gut, middle, midriff, intestines</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-regions domain_labels"">Zoology </span><span class=""ind"">The hinder part of the body of an arthropod, especially the segments of an insect's body behind the thorax.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
adept,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Very skilled or proficient at something.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘she is adept at cutting through red tape’</em></div></div><div class=""exg""><div class=""ex""><em>‘an adept negotiator’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">expert</strong><span class=""syn"">, proficient, accomplished, skilful, talented, gifted, masterly, virtuoso, consummate, peerless</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A person who is skilled or proficient at something.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he is an adept at imitation’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">expert</strong><span class=""syn"">, past master, master, master hand, genius, virtuoso, maestro, doyen, artist, professional, veteran, old hand</span></div></div></div></div></li></ul></section>"
adherent,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Someone who supports a particular party, person, or set of ideas.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he was a strong adherent of monetarism’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">follower</strong><span class=""syn"">, supporter, upholder, defender, advocate, disciple, votary, partisan, member, friend, stalwart</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Sticking fast to an object or surface.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the eggs have thick sticky shells to which debris is often adherent’</em></div></div><div class=""exg""><div class=""ex""><em>‘any adherent sand grains are easily removed’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">adhesive</strong><span class=""syn"">, sticky, sticking, adhering, clinging, tacky, gluey, gummy, gummed, cohesive, viscous, viscid, glutinous, mucilaginous</span></div></div></div></div></li></ul></section>"
adhesive,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Able to stick fast to a surface or object; sticky.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘an adhesive label’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">sticky</strong><span class=""syn"">, sticking, adhering, adherent, clinging, tacky, gluey, gummy, gummed, cohesive, viscous, viscid, glutinous, mucilaginous</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A substance used for sticking objects or materials together; glue.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">mass noun</span></u> <em>‘tile adhesive’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">glue</strong><span class=""syn"">, fixative, gum, paste, cement, bonding, binder, sealer, sealant</span></div></div></div></div></li></ul></section>"
adoration,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Deep love and respect.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he gave her a look of adoration’</em></div></div><div class=""exg""><div class=""ex""><em>‘it was enough to earn him the adoration of the fans’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">love</strong><span class=""syn"">, devotion, care, fondness, warmth, affection</span></div><div><strong class=""syn"">worship</strong><span class=""syn"">, worshipping, glory, glorification, glorifying, praise, praising, thanksgiving, homage, paying homage, exaltation, exalting, extolment, veneration, venerating, revering, reverence</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">Worship; veneration.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the Adoration of the Magi’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">worship</strong><span class=""syn"">, glorify, praise, revere, reverence, exalt, laud, extol, esteem, venerate, pay homage to, pay tribute to</span></div></div></div></div></li></ul></section>"
advent,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><u><span class=""grammatical_note"">in singular</span></u> <ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">The arrival of a notable person or thing.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the advent of television’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">arrival</strong><span class=""syn"">, appearance, emergence, materialization, surfacing, occurrence, dawn, origin, birth, rise, development</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><div class=""variant"">(also <strong>Advent</strong>)</div><span class=""ind"">The first season of the Church year, leading up to Christmas and including the four preceding Sundays.</span></p><span class=""indicators""></span><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""sense-regions domain_labels"">Christian Theology </span><span class=""ind"">The coming or second coming of Christ.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
adversary,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>adversaries</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">One's opponent in a contest, conflict, or dispute.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘Davis beat his old adversary in the quarter-finals’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">opponent</strong><span class=""syn"">, rival, enemy, foe, nemesis, antagonist, combatant, challenger, contender, competitor, opposer, fellow contestant</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><div class=""empty_sense""><div class=""crossReference"">another term for <a>adversarial</a></div><div class=""exg""><div class=""ex""><em>‘the confrontations of adversary politics’</em></div></div><div class=""crossReference"">another term for <a>adversarial</a></div></div></section>"
advocacy,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Public support for or recommendation of a particular cause or policy.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘his outspoken advocacy of the agreement has won no friends’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">support for</strong><span class=""syn"">, argument for, arguing for, calling for, pushing for, pressing for</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">The profession or work of a legal advocate.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘solicitors should have a record of advocacy in the lower courts’</em></div></div></div></li></ul></section>"
aesthetics,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">plural noun</span></h3><span class=""transitivity""></span><u><span class=""grammatical_note"">usually treated as singular</span></u> <ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A set of principles concerned with the nature and appreciation of beauty.</span></p><span class=""indicators""></span><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">The branch of philosophy which deals with questions of beauty and artistic taste.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
affidavit,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><span class=""sense-regions domain_labels"">Law </span><br/><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A written statement confirmed by oath or affirmation, for use as evidence in court.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘a former employee swore an affidavit relating to his claim for unfair dismissal’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">testimony</strong><span class=""syn"">, statement, sworn statement, attestation, declaration, avowal, plea, submission, claim, contention, charge, allegation</span></div></div></div></div></li></ul></section>"
affiliate,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><span class=""form-groups"">usually <strong>be affiliated to/with</strong></span> <ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Officially attach or connect (a subsidiary group or a person) to an organization.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘they are national associations affiliated to larger organizations’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">associate with</strong><span class=""syn"">, be in league with, unite with, combine with, join with, join up with, join forces with, ally with, form an alliance with, align with, amalgamate with, merge with, coalesce with, federate with, confederate with, form a federation with, form a confederation with, team up with, band together with, cooperate with</span></div><div><strong class=""syn"">associated</strong><span class=""syn"">, allied, related, integrated, amalgamated, incorporated, federated, confederated, unified, connected, linked, joined, bound, belonging</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">(of an organization) admit as a member.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the main party agreed to affiliate four Conservative associations’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><u><span class=""grammatical_note"">no object</span></u> <span class=""ind"">Officially join or become attached to an organization.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘almost all students affiliate to the Students' Union’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">become a member of</strong><span class=""syn"">, help in, participate in, join in, get involved in, contribute to, have a hand in</span></div></div></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A person or organization officially attached to a larger body.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the firm established links with American affiliates’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">office</strong><span class=""syn"">, bureau, agency</span></div></div></div></div></li></ul></section>"
