adapter,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A device for connecting pieces of equipment that cannot be connected directly.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the adapter converts the lens focal length to 5.5 mm’</em></div></div><div class=""exg""><div class=""ex""><em>‘a tube fixed to the cleaner by means of an adapter’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">A device for connecting several electric plugs to one socket.</span><div class=""trg""></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">A person who adapts a text to make it suitable for filming, broadcasting, or the stage.</span></p><span class=""indicators""></span></div></li></ul></section>"
addict,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A person who is addicted to a particular substance, typically an illegal drug.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘a former heroin addict’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">abuser</strong><span class=""syn"">, user</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-registers"">informal </span><u><span class=""grammatical_note"">with modifier</span></u> <span class=""ind"">An enthusiastic devotee of a specified thing or activity.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘a self-confessed chocolate addict’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">enthusiast</strong><span class=""syn"">, fan, fanatic, lover, devotee, aficionado, master, wizard</span></div></div></div></li></ul></p></div></li></ul></section>"
addiction,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">The fact or condition of being addicted to a particular substance or activity.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he committed the offence to finance his drug addiction’</em></div></div><div class=""exg""><div class=""ex""><em>‘addiction to crack cocaine is spreading’</em></div></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">count noun</span></u> <em>‘an addiction to gambling’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">dependency</strong><span class=""syn"">, dependence, craving, habit, weakness, compulsion, fixation, enslavement</span></div></div></div></div></li></ul></section>"
adhere,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>no object<span class=""neutral"">]</span></span><span class=""form-groups""><strong>adhere to</strong></span> <ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Stick fast to (a surface or substance)</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘paint won't adhere well to a greasy surface’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">stick</strong><span class=""syn"">, stick fast, cling, hold fast, cohere, bond, attach</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">Believe in and follow the practices of.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘I do not adhere to any organized religion’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">get involved with</strong><span class=""syn"">, take up with, join up with, go around with, string along with, become friendly with, make friends with, strike up a friendship with, start seeing, make the acquaintance of</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""ind"">Closely follow, observe, or represent.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the account adhered firmly to fact’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">abide by</strong><span class=""syn"">, stick to, hold to, comply with, stand by, be faithful to, act in accordance with, pay attention to, pay regard to, go along with, cooperate with, conform to, submit to</span></div><div><strong class=""syn"">be attached to</strong><span class=""syn"">, be connected with, be affiliated to, be a member of</span></div></div></div></li></ul></p></div></li></ul></section>"
adjustable,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Able to be adjusted.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the car has fully adjustable seats and steering wheel’</em></div></div><div class=""exg""><div class=""ex""><em>‘an adjustable spanner’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">modifiable</strong><span class=""syn"">, alterable, adaptable, convertible, variable, multiway, versatile, accommodating</span></div></div></div></div></li></ul></section>"
adolescence,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">The period following the onset of puberty during which a young person develops from a child into an adult.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘Mary spent her childhood and adolescence in Europe’</em></div></div><div class=""exg""><div class=""ex""><em>‘during adolescence teenagers often experience violent mood swings’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">teenage years</strong><span class=""syn"">, teens, youth, young adulthood, young days, early life</span></div></div></div></div></li></ul></section>"
adolescent,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">(of a young person) in the process of developing from a child into an adult.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘many parents find it hard to understand their adolescent children’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">teenage</strong><span class=""syn"">, teenaged, pubescent, youthful, young, juvenile</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Relating to or characteristic of adolescence.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘his adolescent years’</em></div></div><div class=""exg""><div class=""ex""><em>‘adolescent problems’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">immature</strong><span class=""syn"">, childish, babyish, infantile, juvenile, puerile, jejune, inane, silly, fatuous</span></div></div></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">An adolescent boy or girl.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the books are aimed at children and adolescents’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">teenager</strong><span class=""syn"">, youngster, young person, young adult, young man, young woman, young lady, young one, youth, juvenile, minor</span></div></div></div></div></li></ul></section>"
adverse,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Preventing success or development; harmful; unfavourable.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘taxes are having an adverse effect on production’</em></div></div><div class=""exg""><div class=""ex""><em>‘adverse weather conditions’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">unfavourable</strong><span class=""syn"">, disadvantageous, inauspicious, unpropitious, unfortunate, unlucky, untimely, untoward</span></div><div><strong class=""syn"">harmful</strong><span class=""syn"">, dangerous, injurious, detrimental, hurtful, deleterious, destructive, pernicious, disadvantageous, unfavourable, unfortunate, unhealthy</span></div><div><strong class=""syn"">hostile</strong><span class=""syn"">, unfavourable, antagonistic, unfriendly, ill-disposed, negative, opposing, opposed, contrary, dissenting, inimical, antipathetic, at odds</span></div></div></div></div></li></ul></section>"
advisable,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">(of a course of action) to be recommended; sensible.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘it is advisable to carry one of the major credit cards’</em></div></div><div class=""exg""><div class=""ex""><em>‘early booking is advisable’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">wise</strong><span class=""syn"">, desirable, preferable, well, best, sensible, commonsensical, sound, prudent, proper, appropriate, apt, suitable, fitting, judicious, recommended, recommendable, suggested, expedient, politic, helpful, useful, effective, advantageous, beneficial, valuable, profitable, gainful</span></div></div></div></div></li></ul></section>"
advocate,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A person who publicly supports or recommends a particular cause or policy.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he was an untiring advocate of economic reform’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">champion</strong><span class=""syn"">, upholder, supporter, backer, promoter, proponent, exponent, protector, patron</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">A person who puts a case on someone else's behalf.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘care managers can become advocates for their clients’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""ind"">A professional pleader in a court of justice.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘solicitors may act as advocates in Crown Courts’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">barrister</strong><span class=""syn"">, lawyer, counsel, counsellor, professional pleader, legal practitioner</span></div></div></div></li><li class=""subSense""><span class=""subsenseIteration"">2.2</span><span class=""sense-regions spanish_label"">Scottish, South African </span><span class=""ind"">A barrister.</span><div class=""trg""></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Publicly recommend or support.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘voters supported candidates who advocated an Assembly’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">recommend</strong><span class=""syn"">, prescribe, commend, advise, favour, approve of, support, back, uphold, subscribe to, champion, campaign on behalf of, stand up for, speak for, argue for, plead for, press for, lobby for, urge, promote, espouse, endorse, sanction, vouch for</span></div></div></div></div></li></ul></section>"
