dinghy,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>dinghies</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A small boat for recreation or racing, especially an open boat with a mast and sails.</span></p><span class=""indicators""></span><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">A small inflatable rubber boat.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
dingy,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span><span class=""pos-inflections""><span class=""inflection-text""><span>dingier, </span></span><span class=""inflection-text""><span>dingiest</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Gloomy and drab.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘a dingy room’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">gloomy</strong><span class=""syn"">, drab, dark, dull, badly lit, poorly lit, dim</span></div></div></div></div></li></ul></section>"
discerning,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Having or showing good judgement.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the brasserie attracts discerning customers’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">discriminating</strong><span class=""syn"">, selective, judicious, tasteful, refined, cultivated, cultured, sophisticated, enlightened, sensitive, subtle, critical</span></div></div></div></div></li></ul></section>"
discomfiture,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A feeling of unease or embarrassment; awkwardness.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘many MPs are secretly enjoying his discomfiture’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">embarrassment</strong><span class=""syn"">, unease, uneasiness, awkwardness, discomfort, discomposure, abashment, confusion, agitation, nervousness, flusteredness, disorientation, perturbation, distress</span></div></div></div></div></li></ul></section>"
discrete,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Individually separate and distinct.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘speech sounds are produced as a continuous sound signal rather than discrete units’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">separate</strong><span class=""syn"">, distinct, individual, detached, unattached, disconnected, discontinuous, disjunct, disjoined</span></div></div></div></div></li></ul></section>"
disheveled,
dislodge,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Knock or force out of position.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the hoofs of their horses dislodged loose stones’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">remove</strong><span class=""syn"">, move, shift, displace, knock out of place, knock out of position, knock over, upset</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Remove from a position of power or authority.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘government opponents failed to dislodge the Prime Minister’</em></div></div></li></ul></p></div></li></ul></section>"
dispensary,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>dispensaries</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A room where medicines are prepared and provided.</span></p><span class=""indicators""></span></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">A clinic provided by public or charitable funds.</span></p><span class=""indicators""></span></div></li><li><div class=""trg""><p><span class=""iteration"">3</span><span class=""sense-regions"">North American </span><span class=""ind"">A facility that prepares and sells cannabis as recommended by a doctor for the treatment of a medical condition.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘state-issued ID cards are good for up to two ounces of pot a month from state-approved dispensaries’</em></div></div></div></li></ul></section>"
dissect,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Methodically cut up (a body or plant) in order to study its internal parts.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘an animal's eye can be easily dissected’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">anatomize</strong><span class=""syn"">, cut up, cut open, lay open, dismember</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Analyse (a text or idea) in minute detail.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘he dissected the Prime Minister's statement and revealed the truth behind it’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">analyse</strong><span class=""syn"">, examine, study, inspect, scrutinize, probe, explore, pore over, investigate, sift, delve into, go over with a fine-tooth comb</span></div></div></div></li></ul></p></div></li></ul></section>"
disseminate,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Spread (something, especially information) widely.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘health authorities should foster good practice by disseminating information’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">spread</strong><span class=""syn"">, circulate, distribute, disperse, diffuse, proclaim, promulgate, propagate, publicize, communicate, pass on, make known, put about</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-regions domain_labels"">Medicine </span><u><span class=""grammatical_note"">no object</span></u> <span class=""ind"">Spread throughout an organ or the body.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘there is a subset of these low-grade tumours that can disseminate and migrate’</em></div></div></li></ul></p></div></li></ul></section>"
